hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
3,79.160.116.132,2.4330000000000003,Oslo,Oslo,NO,59.91273,10.74609,AS29695,Altibox AS
4,213.167.114.219,2.329333333333333,Oslo,Oslo,NO,59.91273,10.74609,AS29695,Altibox AS
5,62.115.54.181,2.2596666666666665,Oslo,Oslo,NO,59.91273,10.74609,AS1299,Arelion Sweden AB
6,62.115.112.84,14.944,Malmö,Skåne,SE,55.60587,13.00073,AS1299,Arelion Sweden AB
7,62.115.120.71,14.126,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
8,213.248.100.167,13.770000000000001,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
9,188.1.144.225,23.917333333333332,Lippstadt,North Rhine-Westphalia,DE,51.67369,8.34482,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
10,188.1.243.30,27.122,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
11,141.76.0.31,27.295666666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
12,141.30.1.30,32.14266666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,141.30.1.63,27.11366666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
14,141.76.14.10,29.96666666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
