hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,184.99.0.13,3.596,Colorado Springs,Colorado,US,38.83388,-104.82136,AS209,"CenturyLink Communications, LLC"
3,184.99.1.97,4.012666666666667,Denver,Colorado,US,39.73915,-104.9847,AS209,"CenturyLink Communications, LLC"
4,4.68.70.57,5.670333333333333,Denver,Colorado,US,39.73915,-104.9847,AS3356,"Level 3 Parent, LLC"
5,171.75.10.131,127.52366666666667,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS3356,"Level 3 Parent, LLC"
7,188.1.145.133,129.84,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
8,188.1.145.118,134.6565,Erlangen,Bavaria,DE,49.59099,11.00783,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
9,188.1.243.34,137.44000000000003,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
10,141.76.0.23,137.666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
11,141.30.1.22,138.76166666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
12,141.30.1.55,138.74066666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,141.76.14.10,138.31066666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
