hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,81.201.224.2,1.087,Bremervörde,Lower Saxony,DE,53.48458,9.14306,AS12923,Wizard Computersysteme GmbH
3,212.12.34.209,2.964,Ahrensburg,Schleswig-Holstein,DE,53.67515,10.22593,AS9211,Nawork Internet Informationssysteme GmbH
4,212.12.32.18,2.9810000000000003,Hamburg,Hamburg,DE,53.55073,9.99302,AS9211,Nawork Internet Informationssysteme GmbH
5,185.1.210.118,3.0216666666666665,Frankfurt am Main,Hesse,DE,50.1137,8.7119,,
7,188.1.243.30,16.712999999999997,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
8,141.76.0.31,16.256666666666664,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
9,141.30.1.22,19.554666666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
10,141.30.1.53,16.301666666666666,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
11,141.76.14.10,19.587666666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
