hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,185.76.136.17,7.055,Dammam,Eastern Province,SA,26.43442,50.10326,AS25019,Saudi Telecom Company JSC
6,62.115.37.32,78.031,Marseille,Provence-Alpes-Côte d'Azur,FR,43.29695,5.38107,AS1299,Arelion Sweden AB
7,62.115.124.58,91.323,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS1299,Arelion Sweden AB
8,62.115.123.77,105.63166666666666,Trelleborg,Skåne,SE,55.37514,13.15691,AS1299,Arelion Sweden AB
9,62.115.120.71,104.52366666666667,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
10,213.248.100.167,102.436,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
12,188.1.243.30,101.47133333333333,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,141.76.0.29,105.65766666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
14,141.30.1.20,107.44266666666665,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
15,141.30.1.55,105.03733333333332,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
16,141.76.14.10,107.34933333333333,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
