hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
5,213.155.129.70,32.564,Madrid,Madrid,ES,40.4165,-3.70256,AS1299,Arelion Sweden AB
6,62.115.136.69,38.290666666666674,Madrid,Madrid,ES,40.4165,-3.70256,AS1299,Arelion Sweden AB
7,62.115.137.84,36.468,Paris,Île-de-France,FR,48.85341,2.3488,AS1299,Arelion Sweden AB
8,62.115.123.12,46.297666666666665,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS1299,Arelion Sweden AB
9,62.115.123.77,43.44866666666667,Trelleborg,Skåne,SE,55.37514,13.15691,AS1299,Arelion Sweden AB
10,62.115.120.71,43.702666666666666,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
13,188.1.243.30,57.72466666666667,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
14,141.76.0.29,57.33133333333333,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
15,141.30.1.28,60.190333333333335,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
16,141.30.1.61,56.824333333333335,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
17,141.76.14.10,59.276,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
