hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,79.142.192.77,3.859,Odesa,Odessa,UA,46.48572,30.74383,AS44291,INFOMIR AS
3,79.142.198.41,2.6636666666666664,Odesa,Odessa,UA,46.48572,30.74383,AS44291,INFOMIR AS
4,79.142.198.58,2.703666666666667,Odesa,Odessa,UA,46.48572,30.74383,AS44291,INFOMIR AS
5,80.93.126.53,33.824333333333335,Odesa,Odessa,UA,46.48572,30.74383,AS35320,Eurotranstelecom Ltd
6,80.93.127.199,40.946,Warsaw,Mazovia,PL,52.22977,21.01178,AS35320,Eurotranstelecom Ltd
7,62.115.42.110,31.41433333333333,Warsaw,Mazovia,PL,52.22977,21.01178,AS1299,Arelion Sweden AB
8,62.115.120.68,38.529333333333334,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
9,62.115.120.71,38.286,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
11,188.1.144.225,45.635999999999996,Lippstadt,North Rhine-Westphalia,DE,51.67369,8.34482,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
12,188.1.243.30,51.115,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,141.76.0.31,50.936,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
14,141.30.1.22,51.245666666666665,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
15,141.30.1.55,48.465666666666664,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
16,141.76.14.10,51.236333333333334,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
