hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,41.63.246.1,51.261,Okahandja,Otjozondjupa Region,NA,-21.98141,16.9029,AS37009,"MTC - Mobile Telecommunications, Ltd."
9,41.219.127.53,35.409,Windhoek,Khomas Region,NA,-22.55941,17.08323,AS37009,"MTC - Mobile Telecommunications, Ltd."
12,130.117.48.133,207.69966666666664,London,England,GB,51.50853,-0.12574,AS174,Cogent Communications
14,171.75.8.101,216.274,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS3356,"Level 3 Parent, LLC"
16,188.1.145.133,213.3345,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
17,188.1.145.118,222.37800000000001,Erlangen,Bavaria,DE,49.59099,11.00783,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
18,188.1.243.34,227.97133333333332,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
19,141.76.0.23,220.7396666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
20,141.30.1.22,218.75699999999998,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
21,141.30.1.55,236.91833333333332,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
22,141.76.14.10,220.583,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
