hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,102.47.32.1,4.352333333333333,Giza,Giza,EG,30.00944,31.20861,AS8452,TE-AS
7,213.19.202.134,7.307333333333333,Cairo,Cairo,EG,30.06263,31.24967,AS3356,"Level 3 Parent, LLC"
8,213.19.201.81,55.23499999999999,Marseille,Provence-Alpes-Côte d'Azur,FR,43.29695,5.38107,AS3356,"Level 3 Parent, LLC"
9,171.75.10.131,60.61333333333334,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS3356,"Level 3 Parent, LLC"
10,62.67.67.154,60.937333333333335,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS3356,"Level 3 Parent, LLC"
11,188.1.145.198,74.13466666666666,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,188.1.243.30,74.67466666666667,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
14,141.76.0.29,74.98133333333334,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
15,141.30.1.28,74.89866666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
16,141.30.1.61,77.54933333333334,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
17,141.76.14.10,74.96466666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
