hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
3,38.51.208.69,1.5636666666666665,Maracaibo,Zulia,VE,10.64232,-71.61089,AS269730,TECNOVEN SERVICES CA
4,38.51.208.37,2.2783333333333333,Maracaibo,Zulia,VE,10.64232,-71.61089,AS269730,TECNOVEN SERVICES CA
7,45.236.28.233,40.685,Turmero,Aragua,VE,10.22856,-67.47421,AS266809,"NERVICOM, C.A."
9,213.248.75.1,41.439,Miami,Florida,US,25.77427,-80.19366,AS1299,Arelion Sweden AB
10,62.115.120.176,67.407,Ashburn,Virginia,US,39.04372,-77.48749,AS1299,Arelion Sweden AB
12,62.115.122.139,155.951,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS1299,Arelion Sweden AB
13,62.115.127.90,163.4635,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
14,62.115.132.109,163.496,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
15,213.248.100.167,170.03766666666667,Hamburg,Hamburg,DE,53.55073,9.99302,AS1299,Arelion Sweden AB
17,188.1.243.30,175.64200000000002,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
18,141.76.0.29,175.26833333333335,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
19,141.30.1.28,175.274,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
20,141.30.1.61,175.37166666666667,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
21,141.76.14.10,323.51466666666664,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
