hop_n,ip,rtt,city,region,country,latitude,longitude,asn,as_name
2,155.4.244.1,2.1910000000000003,Stockholm,Stockholm,SE,59.32938,18.06871,AS8473,Bahnhof AB
3,98.128.142.188,0.641,Stockholm,Stockholm,SE,59.32938,18.06871,AS8473,Bahnhof AB
4,213.249.107.93,1.3076666666666668,Stockholm,Stockholm,SE,59.32938,18.06871,AS3356,"Level 3 Parent, LLC"
5,171.75.8.101,30.195666666666668,Frankfurt am Main,Hesse,DE,50.11552,8.68417,AS3356,"Level 3 Parent, LLC"
8,188.1.145.118,32.386,Erlangen,Bavaria,DE,49.59099,11.00783,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
9,188.1.243.34,35.678000000000004,Berlin,State of Berlin,DE,52.52437,13.41053,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
10,141.76.0.21,36.663333333333334,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
11,141.30.1.20,37.074000000000005,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
12,141.30.1.53,40.394,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
13,141.76.14.10,36.906,Dresden,Saxony,DE,51.05089,13.73832,AS680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
